RXCUI,GN,NDC,SUPPRESS
200034,olanzapine,71335116803,N
283639,olanzapine,60429062510,N
283639,olanzapine,68382036914,N
200034,olanzapine,66993046005,N
199387,risperidone,17856006302,N
309374,clozapine,00093440519,N
309374,clozapine,00093440593,N
310672,haloperidol,00904678261,N
310672,haloperidol,51079073656,N
310672,haloperidol,70518118200,N
312077,olanzapine,55111016779,N
312078,olanzapine,14445010730,N
310672,haloperidol,50090337600,N
310671,haloperidol,71247015101,N
310672,haloperidol,63874064660,N
310672,haloperidol,71247015301,N
311386,loxapine,70518212000,N
312076,olanzapine,33342008411,N
312077,olanzapine,33342007144,N
312077,olanzapine,62756055588,N
312077,olanzapine,70518207900,N
312078,olanzapine,00093576810,N
312078,olanzapine,52343003930,N
312079,olanzapine,13668016830,N
312079,olanzapine,52343004099,N
312079,olanzapine,66993046205,N
312743,quetiapine,29300014901,N
312743,quetiapine,60505313303,N
310671,haloperidol,00904592361,N
310672,haloperidol,68382007901,N
312076,olanzapine,62756075464,N
312076,olanzapine,63629751403,N
312077,olanzapine,48792782501,N
312077,olanzapine,69543038490,N
312078,olanzapine,33342006807,N
312078,olanzapine,63629330201,N
312078,olanzapine,67184056201,N
312078,olanzapine,68382036501,N
312078,olanzapine,70771141706,N
312079,olanzapine,43598016505,N
312079,olanzapine,62756055318,N
312079,olanzapine,67184056301,N
312079,olanzapine,67877017433,N
312079,olanzapine,70771141806,N
312635,prochlorperazine,00440219012,N
312635,perazine,50090224200,N
312635,perazine,59746011310,N
312635,prochlorperazine,61919053230,N
312635,perazine,63187050215,N
312635,prochlorperazine,63187050260,N
312635,prochlorperazine,63187087760,N
312635,prochlorperazine,63629184107,N
312743,quetiapine,16729014710,N
312743,quetiapine,43353015515,N
312743,quetiapine,51407006801,N
312743,quetiapine,55111018601,N
312744,quetiapine,68788718508,N
312745,quetiapine,00054022320,N
312745,quetiapine,47335090618,N
312828,risperidone,55111020101,N
312829,risperidone,50268069515,N
312829,risperidone,71335048501,N
312831,risperidone,00615828839,N
312831,risperidone,51079046330,N
312831,risperidone,65862012205,N
312832,risperidone,00555177309,N
313364,thiothixene,00378200201,N
313778,ziprasidone,70771118008,N
314192,perazine,00641613501,N
317174,quetiapine,68001018200,N
349490,aripiprazole,50228032730,N
312832,risperidone,68382011606,N
314286,ziprasidone,50090270400,N
402131,aripiprazole,62332009810,N
402131,aripiprazole,67877043105,N
312078,olanzapine,71335136301,N
312078,olanzapine,43598016430,N
312635,perazine,55289056810,N
312635,prochlorperazine,59746011306,N
312635,prochlorperazine,61919090830,N
312635,perazine,63629184102,N
312743,quetiapine,00093816201,N
312743,quetiapine,00615798830,N
312743,quetiapine,33342010111,N
312743,quetiapine,50090339200,N
312743,quetiapine,53002151603,N
312743,quetiapine,55700008530,N
312743,quetiapine,71335146201,N
312744,quetiapine,00093206310,N
312744,quetiapine,47335090288,N
312744,quetiapine,51407006610,N
312744,quetiapine,60687032701,N
312745,quetiapine,16714037902,N
312745,quetiapine,33342010415,N
312745,quetiapine,50268063411,N
312745,quetiapine,67877024710,N
312828,risperidone,13107011960,N
312828,risperidone,13668003509,N
312828,risperidone,51991031606,N
312828,risperidone,65841066510,N
312828,risperidone,65841066514,N
312828,risperidone,68382011201,N
312828,risperidone,68382011206,N
312830,risperidone,13107012160,N
312830,risperidone,51079046201,N
312830,risperidone,65841066714,N
312830,risperidone,70518115100,N
312830,risperidone,71335062601,N
312831,risperidone,00378351291,N
312831,risperidone,13668003855,N
312831,risperidone,27241000450,N
312831,risperidone,65841066805,N
312831,risperidone,68382011505,N
312832,risperidone,13107012360,N
313354,thioridazine,00378061201,N
313366,thiothixene,70954001620,N
313776,ziprasidone,60429076660,N
313776,ziprasidone,60505252900,N
313776,ziprasidone,63739000532,N
313777,ziprasidone,00781216760,N
313777,ziprasidone,55111025801,N
313777,ziprasidone,68084010509,N
313778,ziprasidone,64679099401,N
314034,haloperidol,71247015201,N
314035,haloperidol,50268039211,N
314035,haloperidol,63874065620,N
314035,haloperidol,63874065630,N
314075,loxapine,51079090301,N
314075,loxapine,70518041601,N
314154,olanzapine,67184056402,N
314192,prochlorperazine,23155049742,N
314192,prochlorperazine,23155052331,N
314211,risperidone,68382011701,N
314286,ziprasidone,00781216460,N
314286,ziprasidone,63187016860,N
314286,ziprasidone,65862070210,N
314286,ziprasidone,70518158600,N
317174,quetiapine,43353095730,N
317174,quetiapine,60505313508,N
349490,aripiprazole,13668021930,N
349490,aripiprazole,65162089911,N
349490,aripiprazole,67877043333,N
349545,aripiprazole,48433011701,N
349545,aripiprazole,68788780801,N
349547,aripiprazole,43598055905,N
349547,aripiprazole,43598097005,N
349547,aripiprazole,43598097030,N
349547,aripiprazole,67877043501,N
349553,aripiprazole,31722082901,N
351107,olanzapine,66993068851,N
351108,olanzapine,13668009074,N
402131,aripiprazole,50228032530,N
402131,aripiprazole,53808110101,N
402131,aripiprazole,70518251500,N
476179,clozapine,00093301201,N
602964,aripiprazole,46708025430,N
616483,quetiapine,68788759001,N
616487,quetiapine,68788753803,N
643058,aripiprazole,70771143506,N
317174,quetiapine,60505313505,N
317174,quetiapine,68001018203,N
349490,aripiprazole,31722082830,N
349490,aripiprazole,63629710801,N
349490,aripiprazole,68382008416,N
349547,aripiprazole,16729028346,N
402131,aripiprazole,62332009830,N
402131,aripiprazole,62332009845,N
402131,aripiprazole,68788716201,N
403970,olanzapine,49884025211,N
602964,aripiprazole,67877043033,N
616483,quetiapine,68788719509,N
616698,risperidone,55111047078,N
312745,quetiapine,68180044902,N
312745,quetiapine,71335077203,N
312829,risperidone,13107012060,N
312830,risperidone,00555177104,N
312830,risperidone,58118007708,N
313776,ziprasidone,65862070310,N
313778,ziprasidone,00378735305,N
314034,haloperidol,58864073142,N
314154,olanzapine,33342007015,N
314154,olanzapine,35356075630,N
314192,prochlorperazine,70860077841,N
314286,ziprasidone,70771117902,N
317174,quetiapine,70518097501,N
349545,aripiprazole,43598096705,N
349547,aripiprazole,31722083031,N
349547,aripiprazole,68382008610,N
349553,aripiprazole,33342012607,N
401953,risperidone,63304095005,N
616487,quetiapine,68180044611,N
672569,paliperidone,00378398093,N
853201,quetiapine,70518201600,N
313778,ziprasidone,55111025990,N
313778,ziprasidone,71335026303,N
313778,ziprasidone,71335050103,N
314155,olanzapine,62756075164,N
314192,perazine,23155029441,N
349547,aripiprazole,13668022131,N
349553,aripiprazole,67877043405,N
402131,aripiprazole,72865018130,N
672569,paliperidone,16714086801,N
721791,quetiapine,51407007560,N
721796,quetiapine,00904680561,N
602964,aripiprazole,72865015330,N
853201,quetiapine,63629247801,N
312743,quetiapine,47335090418,N
314192,perazine,23155049731,N
312078,olanzapine,70771141702,N
312079,olanzapine,70771141803,N
312635,perazine,63629184104,N
312743,quetiapine,43353015560,N
312744,quetiapine,59746034810,N
312828,risperidone,51079046020,N
313778,ziprasidone,68084010609,N
312635,perazine,00440819012,N
312743,quetiapine,13668015074,N
312743,quetiapine,43353015545,N
312744,quetiapine,43353015353,N
312744,quetiapine,67296139401,N
312745,quetiapine,67046063821,N
312829,risperidone,53002159603,N
312829,risperidone,71335048502,N
312830,risperidone,55111020301,N
312830,risperidone,71610014515,N
312831,risperidone,71610025945,N
312831,risperidone,71610026415,N
312832,risperidone,13668003905,N
312832,risperidone,50458059450,N
313776,ziprasidone,00378735105,N
313776,ziprasidone,64679099202,N
313776,ziprasidone,65862070360,N
313778,ziprasidone,63629691601,N
313778,ziprasidone,63629691603,N
313778,ziprasidone,68001045306,N
314034,haloperidol,00378021410,N
314078,loxapine,35573043702,N
314078,loxapine,50090470100,N
314192,perazine,23155052331,N
314211,risperidone,68382011716,N
314286,ziprasidone,70518158602,N
317174,quetiapine,33342010312,N
317174,quetiapine,43353095718,N
317174,quetiapine,71335136201,N
349490,aripiprazole,43598055705,N
349545,aripiprazole,50090493601,N
349545,aripiprazole,70518258000,N
349547,aripiprazole,50228032930,N
349547,aripiprazole,72865018530,N
349553,aripiprazole,50268009111,N
349553,aripiprazole,70771145509,N
403825,risperidone,00781531008,N
476179,clozapine,00093541719,N
602964,aripiprazole,68788773306,N
602964,aripiprazole,72865018005,N
616483,quetiapine,55111060605,N
616483,quetiapine,70518250200,N
643022,aripiprazole,13811069330,N
721796,quetiapine,50742063990,N
721796,quetiapine,70518184100,N
314075,loxapine,00591037201,N
314078,loxapine,00527139510,N
314154,olanzapine,63187042930,N
314154,olanzapine,67184056405,N
314154,olanzapine,68382036706,N
314211,risperidone,13668004001,N
314286,ziprasidone,16714083501,N
317174,quetiapine,33342010311,N
317174,quetiapine,71335151901,N
349490,aripiprazole,43547030510,N
349545,aripiprazole,43547030450,N
349547,aripiprazole,16714014601,N
402131,aripiprazole,70518289700,N
602964,aripiprazole,68788773309,N
602964,aripiprazole,70518295800,N
616483,quetiapine,46708013910,N
616483,quetiapine,55111060601,N
616487,quetiapine,60687033801,N
616705,risperidone,63304064430,N
672567,paliperidone,10147095201,N
672569,paliperidone,60687047011,N
672571,paliperidone,65162028303,N
721791,quetiapine,33342013509,N
401954,risperidone,00781531206,N
616483,quetiapine,47335090788,N
312635,prochlorperazine,55289056810,N
312745,quetiapine,60505313703,N
312829,risperidone,50268069511,N
313776,ziprasidone,64679099206,N
313776,ziprasidone,72578002114,N
313777,ziprasidone,68382023930,N
313778,ziprasidone,33342014751,N
314035,haloperidol,63629232601,N
314154,olanzapine,43598016601,N
314154,olanzapine,55111016630,N
314154,olanzapine,68382036730,N
314192,prochlorperazine,23155049741,N
314286,ziprasidone,50090482100,N
314286,ziprasidone,55111025681,N
314286,ziprasidone,63739098832,N
317174,quetiapine,47335090561,N
317174,quetiapine,65862049399,N
349490,aripiprazole,13668021951,N
349545,aripiprazole,48433011710,N
349545,aripiprazole,71335171104,N
349547,aripiprazole,67877043538,N
349547,aripiprazole,70518282700,N
349553,aripiprazole,67877043403,N
349553,aripiprazole,71335136401,N
351107,olanzapine,59746030812,N
351223,ziprasidone,72266016042,N
389201,quetiapine,55111018805,N
402131,aripiprazole,00615837539,N
402131,aripiprazole,13811068010,N
402131,aripiprazole,43547030350,N
402131,aripiprazole,60505267308,N
403971,olanzapine,49884025311,N
429212,clozapine,63629236101,N
616487,quetiapine,13668014930,N
672569,paliperidone,10147095303,N
848722,iloperidone,51672417804,N
312830,risperidone,68382011405,N
313776,ziprasidone,64679099201,N
313778,ziprasidone,68382024005,N
313778,ziprasidone,71335072903,N
314035,haloperidol,51079043120,N
314154,olanzapine,70771141900,N
314192,prochlorperazine,23155029441,N
314211,risperidone,68382011706,N
314286,ziprasidone,50436033101,N
349490,aripiprazole,46708025731,N
349490,aripiprazole,62332010091,N
349490,aripiprazole,76282004701,N
349553,aripiprazole,71335041202,N
389201,quetiapine,67877024533,N
402131,aripiprazole,13668021790,N
402131,aripiprazole,16729027946,N
402131,aripiprazole,62332009891,N
402131,aripiprazole,63629699905,N
402131,aripiprazole,65162089750,N
402131,aripiprazole,67877043133,N
429212,clozapine,51862027201,N
602964,aripiprazole,16729027810,N
602964,aripiprazole,27241005103,N
602964,aripiprazole,50228047510,N
602964,aripiprazole,68382043930,N
616483,quetiapine,16729015016,N
616483,quetiapine,55111060660,N
616483,quetiapine,60505313901,N
616487,quetiapine,47335090318,N
616487,quetiapine,53002152903,N
616705,risperidone,50458060528,N
643019,aripiprazole,42043040003,N
721787,olanzapine,00093550356,N
721794,quetiapine,50742063810,N
853201,quetiapine,65862087305,N
853201,quetiapine,68180061201,N
402131,aripiprazole,68788774901,N
616483,quetiapine,00093816501,N
616483,quetiapine,63629711603,N
616487,quetiapine,63629484102,N
616487,quetiapine,70518064501,N
401953,risperidone,55111020878,N
602964,aripiprazole,00093761356,N
313362,thiothixene,70954001410,N
402131,aripiprazole,60687016811,N
313776,ziprasidone,33342014509,N
314155,olanzapine,50268061511,N
349490,aripiprazole,70518250801,N
349553,aripiprazole,68788706306,N
351107,olanzapine,48792785701,N
402131,aripiprazole,63629699904,N
402131,aripiprazole,72865018105,N
403825,risperidone,59746001032,N
643058,aripiprazole,70771143501,N
314154,olanzapine,63187036460,N
602964,aripiprazole,67877043038,N
313778,ziprasidone,16714083801,N
314034,haloperidol,00832153011,N
314286,ziprasidone,55111025630,N
721796,quetiapine,70518184101,N
349545,aripiprazole,67877043233,N
485968,olanzapine,55150030810,N
313777,ziprasidone,33342014612,N
314075,loxapine,00527139710,N
314286,ziprasidone,55700005414,N
349547,aripiprazole,76282004930,N
401953,risperidone,59746002022,N
616487,quetiapine,46708013510,N
616487,quetiapine,71335135301,N
721794,quetiapine,33342013615,N
312832,risperidone,65841066910,N
314078,loxapine,00527139501,N
314211,risperidone,00378351491,N
317174,quetiapine,67877024610,N
349545,aripiprazole,70771145300,N
351108,olanzapine,13668009090,N
485496,aripiprazole,54838057059,N
602964,aripiprazole,65162089609,N
602964,aripiprazole,68382043901,N
616487,quetiapine,68788718608,N
643058,aripiprazole,68382009016,N
402131,aripiprazole,71335168801,N
314211,risperidone,00555177409,N
313778,ziprasidone,60429076860,N
402131,aripiprazole,43598096630,N
859824,fluphenazine decanoate,63323027205,N
859867,haloperidol,00703701301,N
859867,haloperidol decanoate,70710146201,N
859981,asenapine,42794001622,N
991044,chlorpromazine,70710113201,N
859867,haloperidol,72785000501,N
859841,fluphenazine,70518031803,N
859871,haloperidol,68083013802,N
859981,asenapine,62332019831,N
859867,haloperidol decanoate,70069038201,N
859871,haloperidol,70069038405,N
865123,fluphenazine,00378600905,N
866103,paliperidone,00378397893,N
991039,chlorpromazine,50268016215,N
859871,haloperidol decanoate,72785000701,N
860918,fluphenazine,00378607401,N
860918,fluphenazine,70518300801,N
991039,promazine,00781591301,N
991039,chlorpromazine,00904689261,N
991039,promazine,51079051801,N
991039,promazine,63304018501,N
991039,chlorpromazine,70710112904,N
991044,promazine,00781171801,N
991044,chlorpromazine,51407043701,N
991044,promazine,70710113204,N
991044,promazine,70771150902,N
991188,promazine,00781171901,N
991188,chlorpromazine,00781591701,N
991188,chlorpromazine,60687046311,N
991336,chlorpromazine,16714004901,N
991336,chlorpromazine,70771150801,N
996921,clozapine,00093308701,N
1114060,promazine,11695007908,N
1116450,promazine,11695009405,N
1235247,lurasidone,62332049471,N
991188,promazine,51079051720,N
1040031,lurasidone,62332049571,N
895670,quetiapine,51407007460,N
991039,promazine,00904712961,N
991039,chlorpromazine,60687041901,N
991039,promazine,60687041911,N
991039,chlorpromazine,70710112901,N
991044,chlorpromazine,63304011410,N
991044,chlorpromazine,68462086410,N
991188,promazine,00904689661,N
991188,chlorpromazine,50268016612,N
991188,promazine,60687046311,N
991194,chlorpromazine,00781171601,N
991194,promazine,16714004801,N
991194,chlorpromazine,51079051920,N
991194,chlorpromazine,70518160800,N
991194,chlorpromazine,70771150702,N
991336,chlorpromazine,60687044111,N
991336,promazine,70771150801,N
1006801,clozapine,00093308619,N
991336,chlorpromazine,00781591501,N
991336,promazine,00904689461,N
996921,clozapine,00093308719,N
1114060,promazine,11695009505,N
991194,promazine,60687043011,N
991336,promazine,70771150804,N
991336,promazine,70518001600,N
1719646,haloperidol,00143950101,N
1719862,haloperidol decanoate,68083013710,N
1719862,haloperidol,70069038110,N
1719803,haloperidol,70069038305,N
1719803,haloperidol,70069038310,N
1719862,haloperidol decanoate,70069038101,N
1719862,haloperidol,70518309700,N
1719862,haloperidol decanoate,70518309701,N
1719862,haloperidol,10147092103,N
1719862,haloperidol decanoate,70710146106,N
1719862,haloperidol decanoate,25021083101,N
1730076,chlorpromazine,00641139735,N
1431235,lurasidone,62332049690,N
1436149,perazine,00363056801,N
141935,haloperidol,00121058115,N
197535,clozapine,00378086001,N
197535,clozapine,65862084601,N
197536,clozapine,51079092120,N
197536,clozapine,51862090001,N
197535,clozapine,51862027301,N
197535,clozapine,63629236001,N
198077,perphenazine,00781104705,N
197535,clozapine,63629235901,N
197536,clozapine,00904708961,N
197754,haloperidol,00781139801,N
198075,perphenazine,00378535301,N
198075,perphenazine,00781804901,N
198075,perphenazine,64980029301,N
198075,perphenazine,70518073100,N
198076,perphenazine,68084083021,N
198077,perphenazine,00378535193,N
198078,perphenazine,00378535205,N
198323,perazine,51079057520,N
198075,perphenazine,00781104910,N
198075,perphenazine,68382059401,N
198077,perphenazine,63629225101,N
198078,perphenazine,64980029201,N
198078,perphenazine,70771104304,N
198159,prochlorperazine,50090063602,N
198270,thioridazine,53489050010,N
198275,thioridazine,00378061610,N
198324,perazine,51079057301,N
198325,perazine,70518210600,N
198365,prochlorperazine,00555052204,N
198365,prochlorperazine,00781502101,N
198365,prochlorperazine,10544028130,N
198365,perazine,43063016004,N
198365,prochlorperazine,51079054220,N
198365,perazine,63629133505,N
198365,perazine,71335095207,N
200034,olanzapine,69543038090,N
283639,olanzapine,00904628706,N
198077,perphenazine,70771104202,N
198365,perazine,42708010312,N
198365,prochlorperazine,63187025160,N
198365,prochlorperazine,71335095207,N
283639,olanzapine,55111016805,N
283639,olanzapine,68084052901,N
204416,haloperidol,00703704501,N
197535,clozapine,51862090201,N
198076,perphenazine,00378535001,N
198078,perphenazine,63629225301,N
198078,perphenazine,00781804801,N
198365,prochlorperazine,52959047602,N
198365,prochlorperazine,52959047612,N
198365,perazine,67296023802,N
198365,perazine,71335054301,N
198365,perazine,71335095204,N
283639,olanzapine,70518233700,N
198365,prochlorperazine,55289022404,N
198365,perazine,55887061960,N
199387,risperidone,17856067301,N
200034,olanzapine,65862056110,N
283639,olanzapine,00093510501,N
283639,olanzapine,52343004399,N
283639,olanzapine,55111016879,N
283639,olanzapine,66993046530,N
283639,olanzapine,68382036910,N
283639,olanzapine,68382036930,N
198365,prochlorperazine,00378511001,N
200034,olanzapine,48792782901,N
200034,olanzapine,65862056130,N
283639,olanzapine,68382036906,N
198325,perazine,51079057420,N
198365,perazine,63629133504,N
283639,olanzapine,48792782401,N
198365,perazine,00378511001,N
198324,perazine,00781803201,N
199387,risperidone,55111057930,N
200034,olanzapine,68084052511,N
199387,risperidone,00054006344,N
283639,olanzapine,60429062530,N
200034,olanzapine,55700010730,N
309374,clozapine,51862090301,N
309374,clozapine,72721177005,N
309374,clozapine,51862090305,N
310670,haloperidol,00378035101,N
310670,haloperidol,00378035110,N
310670,haloperidol,00781139101,N
310670,haloperidol,68071049430,N
310671,haloperidol,55700005330,N
310672,haloperidol,00781139610,N
310672,haloperidol,63874064630,N
309374,clozapine,57664021113,N
309374,clozapine,65862084710,N
309374,clozapine,60687042601,N
310671,haloperidol,52959051810,N
310672,haloperidol,50268039111,N
310672,haloperidol,63874064615,N
310672,haloperidol,65841062601,N
310671,haloperidol,63874083060,N
310672,haloperidol,00378032710,N
311385,loxapine,10135058701,N
311385,loxapine,70518034700,N
311386,loxapine,00527139410,N
312076,olanzapine,33342008412,N
312077,olanzapine,65862056599,N
312077,olanzapine,70771142004,N
312078,olanzapine,50090308100,N
312079,olanzapine,65862056301,N
311385,loxapine,64850089201,N
312076,olanzapine,60505327600,N
312076,olanzapine,71335066302,N
312078,olanzapine,00378521210,N
312078,olanzapine,00904637761,N
312078,olanzapine,48792782801,N
312078,olanzapine,55111016430,N
312078,olanzapine,60505311100,N
312078,olanzapine,63187084403,N
312078,olanzapine,65862056230,N
312078,olanzapine,67877017333,N
312078,olanzapine,68382036506,N
312079,olanzapine,48792782701,N
312078,olanzapine,55700010830,N
312078,olanzapine,70771141700,N
312635,perazine,00247082520,N
312635,prochlorperazine,50090224105,N
312635,perazine,52959051110,N
312635,prochlorperazine,54348098906,N
312635,prochlorperazine,63187050215,N
312635,perazine,63187087715,N
312635,prochlorperazine,63187087730,N
312635,prochlorperazine,63874052530,N
312635,prochlorperazine,66267027112,N
312635,perazine,66267082606,N
312743,quetiapine,46708013631,N
312743,quetiapine,55700083330,N
312743,quetiapine,67877025010,N
312743,quetiapine,71335146202,N
312744,quetiapine,13668014842,N
312744,quetiapine,70518103400,N
312745,quetiapine,47335090688,N
312745,quetiapine,60429041701,N
312745,quetiapine,60505313706,N
312828,risperidone,68084027011,N
312828,risperidone,71205052060,N
312829,risperidone,00615819730,N
312830,risperidone,00378351191,N
312830,risperidone,71610014560,N
312831,risperidone,43353075730,N
312832,risperidone,71335088502,N
313776,ziprasidone,70518236700,N
314035,haloperidol,63874065610,N
317174,quetiapine,43353081453,N
317174,quetiapine,60505313501,N
317174,quetiapine,71610012815,N
616698,risperidone,63304064330,N
349553,aripiprazole,65862066501,N
312079,olanzapine,60429062230,N
312635,prochlorperazine,51079054101,N
312635,perazine,63187050230,N
312635,perazine,63187050290,N
312635,prochlorperazine,61919032730,N
312743,quetiapine,00615798805,N
312743,quetiapine,00781534401,N
312743,quetiapine,16729014701,N
312743,quetiapine,51407006810,N
312743,quetiapine,55700008514,N
312744,quetiapine,00615798605,N
312744,quetiapine,61919008430,N
312744,quetiapine,61919008460,N
312744,quetiapine,59746034801,N
312745,quetiapine,00904664261,N
312745,quetiapine,13668015201,N
312745,quetiapine,16729014917,N
312745,quetiapine,50090398300,N
312745,quetiapine,55111019079,N
312745,quetiapine,65862049460,N
312745,quetiapine,67046063820,N
312745,quetiapine,71610012718,N
312745,quetiapine,60687039311,N
312745,quetiapine,65862049401,N
312828,risperidone,70518177100,N
312829,risperidone,68382011306,N
312830,risperidone,00615819805,N
312830,risperidone,50090278000,N
312830,risperidone,65841066701,N
312830,risperidone,68382011401,N
312830,risperidone,68382011416,N
312831,risperidone,55111020405,N
312831,risperidone,55111020460,N
312831,risperidone,60505258705,N
312832,risperidone,50268069811,N
312832,risperidone,51079046420,N
313361,thiothixene,51407027801,N
313364,thiothixene,70954001520,N
313366,thiothixene,00378300510,N
313366,thiothixene,70518170300,N
313366,thiothixene,70954001610,N
313776,ziprasidone,33342014512,N
313776,ziprasidone,63187043130,N
313776,ziprasidone,70518236701,N
313777,ziprasidone,65862070499,N
313777,ziprasidone,68382023914,N
313777,ziprasidone,71335058501,N
313778,ziprasidone,65862070599,N
313778,ziprasidone,68180033407,N
314035,haloperidol,63874065660,N
314035,haloperidol,71247015410,N
314154,olanzapine,00378545491,N
314154,olanzapine,50090504700,N
314154,olanzapine,70518111501,N
314192,perazine,14789070007,N
314192,prochlorperazine,67457064099,N
314211,risperidone,27241000606,N
314286,ziprasidone,50090374800,N
317174,quetiapine,51407006905,N
317174,quetiapine,67877024638,N
317174,quetiapine,68084053301,N
349490,aripiprazole,31722082831,N
349490,aripiprazole,33342012511,N
349490,aripiprazole,33342012512,N
349490,aripiprazole,50268009011,N
349490,aripiprazole,67877043301,N
349545,aripiprazole,16729028010,N
349545,aripiprazole,62332009931,N
349545,aripiprazole,65862066330,N
349545,aripiprazole,71335151503,N
349547,aripiprazole,27241005603,N
349547,aripiprazole,60687021321,N
349547,aripiprazole,65862066678,N
349547,aripiprazole,67877043533,N
349547,aripiprazole,72865018505,N
349553,aripiprazole,33342012611,N
349553,aripiprazole,70518301100,N
349553,aripiprazole,71335168703,N
351108,olanzapine,13668009030,N
351108,olanzapine,50268061813,N
402131,aripiprazole,16714078401,N
403825,risperidone,68382015406,N
616483,quetiapine,43353000818,N
616487,quetiapine,68084053111,N
856706,perphenazine,00378033001,N
312832,risperidone,13107012305,N
313776,ziprasidone,55111025778,N
313778,ziprasidone,71335050101,N
314192,prochlorperazine,70860077802,N
317174,quetiapine,67046063760,N
349490,aripiprazole,50090481700,N
349547,aripiprazole,62332010291,N
349547,aripiprazole,68382008614,N
351107,olanzapine,55111026479,N
351108,olanzapine,60505327808,N
401953,risperidone,63304095030,N
402131,aripiprazole,48433011610,N
602964,aripiprazole,48433011501,N
616483,quetiapine,13668015320,N
616483,quetiapine,68180045002,N
403969,olanzapine,00781219131,N
853201,quetiapine,50742063510,N
312743,quetiapine,29300014916,N
312743,quetiapine,71335146205,N
312744,quetiapine,67296124301,N
312830,risperidone,71335037902,N
313776,ziprasidone,16714083601,N
313776,ziprasidone,68180033207,N
313778,ziprasidone,68788721509,N
313778,ziprasidone,70518160402,N
314035,haloperidol,00781139713,N
314075,loxapine,64850089301,N
314154,olanzapine,42292001420,N
314211,risperidone,68084027701,N
349545,aripiprazole,62332009991,N
349553,aripiprazole,46708025830,N
349553,aripiprazole,62332010131,N
403972,olanzapine,00781219331,N
616487,quetiapine,55700015660,N
312832,risperidone,65841066916,N
313777,ziprasidone,68788736309,N
313778,ziprasidone,55111025930,N
314154,olanzapine,70518163500,N
349545,aripiprazole,68382008306,N
349545,aripiprazole,68788692102,N
349545,aripiprazole,76282004630,N
349547,aripiprazole,62332010230,N
602964,aripiprazole,50228032430,N
616483,quetiapine,13668015330,N
