Name,RxCUI,Rx_Norm_Drug_Class,Drug_Class
Ramipril 5 MG Oral Tablet [Altace],730514,ACE,ACE
trandolapril 1 MG Extended Release Oral Tablet,844933,ACE,ACE
Ramipril 1.25 MG Oral Capsule,845488,ACE,ACE
Ramipril 1.25 MG Oral Capsule [Altace],845489,ACE,ACE
Perindopril Erbumine 8 MG Oral Tablet,854925,ACE,ACE
Perindopril Erbumine 8 MG Oral Tablet [Aceon],854927,ACE,ACE
Perindopril Erbumine 2 MG Oral Tablet,854984,ACE,ACE
Perindopril Erbumine 2 MG Oral Tablet [Aceon],854986,ACE,ACE
Perindopril Erbumine 4 MG Oral Tablet,854988,ACE,ACE
Perindopril Erbumine 4 MG Oral Tablet [Aceon],854990,ACE,ACE
Fosinopril Sodium 10 MG Oral Tablet,857169,ACE,ACE
Fosinopril Sodium 10 MG Oral Tablet [Monopril],857171,ACE,ACE
Fosinopril Sodium 20 MG Oral Tablet,857183,ACE,ACE
Fosinopril Sodium 20 MG Oral Tablet [Monopril],857185,ACE,ACE
Fosinopril Sodium 40 MG Oral Tablet,857187,ACE,ACE
Fosinopril Sodium 40 MG Oral Tablet [Monopril],857189,ACE,ACE
Fosinopril Sodium 5 MG Oral Tablet,857195,ACE,ACE
Enalapril Maleate 2.5 MG Oral Tablet,858804,ACE,ACE
Enalapril Maleate 2.5 MG Oral Tablet [Vasotec],858806,ACE,ACE
Enalapril Maleate 20 MG Oral Tablet,858810,ACE,ACE
Enalapril Maleate 20 MG Oral Tablet [Vasotec],858812,ACE,ACE
Enalapril Maleate 5 MG Oral Tablet,858813,ACE,ACE
Enalapril Maleate 5 MG Oral Tablet [Vasotec],858815,ACE,ACE
Enalapril Maleate 10 MG Oral Tablet,858817,ACE,ACE
Enalapril Maleate 10 MG Oral Tablet [Vasotec],858819,ACE,ACE
Enalapril Maleate 1.25 MG/ML Injectable Solution,858821,ACE,ACE
Enalapril Maleate 1.25 MG/ML Injectable Solution [Vasotec],858823,ACE,ACE
Enalapril Maleate 20 MG Oral Tablet [Renitec],858845,ACE,ACE
Enalapril Maleate 20 MG Chewable Tablet,858926,ACE,ACE
Benazepril hydrochloride 10 MG Oral Tablet,898687,ACE,ACE
Benazepril hydrochloride 10 MG Oral Tablet [Lotensin],898689,ACE,ACE
Benazepril hydrochloride 20 MG Oral Tablet,898690,ACE,ACE
Benazepril hydrochloride 20 MG Oral Tablet [Lotensin],898692,ACE,ACE
Benazepril hydrochloride 40 MG Oral Tablet,898719,ACE,ACE
Benazepril hydrochloride 40 MG Oral Tablet [Lotensin],898721,ACE,ACE
Benazepril hydrochloride 5 MG Oral Tablet,898723,ACE,ACE
Benazepril hydrochloride 5 MG Oral Tablet [Lotensin],898725,ACE,ACE
Enalaprilat,3829,ACE,ACE
Lisinopril,29046,ACE,ACE
Ramipril,35296,ACE,ACE
Moexipril hydrochloride 15 MG Oral Tablet,1299896,ACE,ACE
Moexipril hydrochloride 7.5 MG Oral Tablet,1299897,ACE,ACE
Moexipril hydrochloride 15 MG Oral Tablet [Univasc],1299963,ACE,ACE
Moexipril hydrochloride 7.5 MG Oral Tablet [Univasc],1299965,ACE,ACE
Enalapril Maleate 1 MG/ML Oral Solution,1435624,ACE,ACE
Enalapril Maleate 1 MG/ML Oral Solution [Epaned],1435630,ACE,ACE
1 ML Enalaprilat 1.25 MG/ML Injection,1729200,ACE,ACE
2 ML Enalaprilat 1.25 MG/ML Injection,1729205,ACE,ACE
Lisinopril 1 MG/ML Oral Solution,1806884,ACE,ACE
piretanide 6 MG / Ramipril 5 MG Oral Tablet,429765,ACE_loop_combo,ACE_loop
piretanide / Ramipril Oral Tablet,451173,ACE_loop_combo,ACE_loop
Spironolactone 25 MG Oral Tablet [Spirolone],104227,aldo,aldo
Spironolactone 50 MG Oral Tablet [Spirolone],104228,aldo,aldo
Spironolactone 100 MG Oral Tablet [Spirospare],104229,aldo,aldo
Spironolactone 1 MG/ML Oral Suspension,104230,aldo,aldo
Spironolactone 2 MG/ML Oral Suspension,104231,aldo,aldo
Spironolactone 5 MG/ML Oral Suspension,104232,aldo,aldo
Spironolactone 10 MG/ML Oral Suspension,104233,aldo,aldo
Spironolactone 100 MG Oral Capsule,104234,aldo,aldo
Spironolactone 100 MG Oral Tablet,198222,aldo,aldo
Spironolactone 50 MG Oral Tablet,198223,aldo,aldo
Spironolactone 50 MG Oral Tablet [Diatensec],200815,aldo,aldo
Spironolactone 50 MG Oral Tablet [Laractone],200816,aldo,aldo
Spironolactone 50 MG Oral Tablet [Aldactone],200817,aldo,aldo
Spironolactone 50 MG Oral Tablet [Spiroctan],200818,aldo,aldo
Spironolactone 25 MG Oral Tablet [Laractone],200819,aldo,aldo
Spironolactone 25 MG Oral Tablet [Aldactone],200820,aldo,aldo
Spironolactone 25 MG Oral Tablet [Spirospare],200821,aldo,aldo
Spironolactone 25 MG Oral Tablet [Spiretic],200822,aldo,aldo
Spironolactone 25 MG Oral Tablet [Spiroctan],200823,aldo,aldo
Spironolactone 100 MG Oral Tablet [Laractone],200824,aldo,aldo
Spironolactone 100 MG Oral Tablet [Aldactone],200825,aldo,aldo
Spironolactone 100 MG Oral Tablet [Spiretic],200826,aldo,aldo
Spironolactone 100 MG Oral Tablet [Spirolone],200827,aldo,aldo
Spironolactone 100 MG Oral Capsule [Spiroctan],201282,aldo,aldo
Spironolactone 25 MG Oral Tablet [Spironol],207867,aldo,aldo
Spironolactone 25 MG Oral Tablet,313096,aldo,aldo
eplerenone 25 MG Oral Tablet,351256,aldo,aldo
eplerenone 50 MG Oral Tablet,351257,aldo,aldo
eplerenone 100 MG Oral Tablet,351258,aldo,aldo
Spironolactone Oral Capsule,373945,aldo,aldo
Spironolactone Oral Tablet,373946,aldo,aldo
eplerenone Oral Tablet,378726,aldo,aldo
Spironolactone Oral Suspension,379251,aldo,aldo
eplerenone 50 MG Oral Tablet [Inspra],402105,aldo,aldo
eplerenone 25 MG Oral Tablet [Inspra],402106,aldo,aldo
eplerenone 100 MG Oral Tablet [Inspra],402107,aldo,aldo
Spironolactone 75 MG Oral Capsule,411223,aldo,aldo
Spironolactone 50 MG Oral Capsule,411224,aldo,aldo
Spironolactone 75 MG Oral Tablet,429194,aldo,aldo
Spironolactone,9997,aldo,aldo
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet,198224,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide 50 MG / Spironolactone 50 MG Oral Tablet,198225,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet [Aldactazide],208112,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide 25 MG / Spironolactone 25 MG Oral Tablet [Spironolactone Plus],208113,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide 50 MG / Spironolactone 50 MG Oral Tablet [Aldactazide],208116,aldo_diuretic_combo,aldo_diuretic
buthiazide 2.5 MG / Spironolactone 25 MG Oral Tablet,249762,aldo_diuretic_combo,aldo_diuretic
Hydroflumethiazide 25 MG / Spironolactone 25 MG Oral Tablet,250376,aldo_diuretic_combo,aldo_diuretic
Hydroflumethiazide 50 MG / Spironolactone 50 MG Oral Tablet,250377,aldo_diuretic_combo,aldo_diuretic
buthiazide 10 MG / Spironolactone 100 MG Oral Tablet,250704,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide / Spironolactone Oral Tablet,370639,aldo_diuretic_combo,aldo_diuretic
buthiazide / Spironolactone Oral Tablet,373947,aldo_diuretic_combo,aldo_diuretic
Hydroflumethiazide / Spironolactone Oral Tablet,373948,aldo_diuretic_combo,aldo_diuretic
buthiazide 10 MG / Spironolactone 100 MG Oral Capsule,411480,aldo_diuretic_combo,aldo_diuretic
buthiazide 5 MG / Spironolactone 50 MG Oral Tablet,427928,aldo_diuretic_combo,aldo_diuretic
Hydrochlorothiazide 100 MG / Spironolactone 50 MG Oral Tablet,429195,aldo_diuretic_combo,aldo_diuretic
Bendroflumethiazide 50 MG / Spironolactone 2.5 MG Oral Tablet,432662,aldo_diuretic_combo,aldo_diuretic
Bendroflumethiazide 100 MG / Spironolactone 5 MG Oral Tablet,432663,aldo_diuretic_combo,aldo_diuretic
Bendroflumethiazide / Spironolactone Oral Tablet,451922,aldo_diuretic_combo,aldo_diuretic
buthiazide / Spironolactone Oral Capsule,451927,aldo_diuretic_combo,aldo_diuretic
Furosemide 20 MG / Spironolactone 50 MG Oral Capsule,246399,aldo_loop_diuretic_combo,aldo_loop
Furosemide 20 MG / Spironolactone 100 MG Oral Capsule,251564,aldo_loop_diuretic_combo,aldo_loop
Furosemide / Spironolactone Oral Capsule,373944,aldo_loop_diuretic_combo,aldo_loop
Furosemide 20 MG / Spironolactone 50 MG Oral Tablet,432646,aldo_loop_diuretic_combo,aldo_loop
Furosemide 20 MG / Spironolactone 100 MG Oral Tablet,432647,aldo_loop_diuretic_combo,aldo_loop
Furosemide / Spironolactone Oral Tablet,451932,aldo_loop_diuretic_combo,aldo_loop
Indoramin 25 MG Oral Tablet [Baratol],104359,alpha_blocker,alpha
Indoramin 50 MG Oral Tablet [Baratol],104360,alpha_blocker,alpha
Indoramin 20 MG Oral Tablet [Doralese],104361,alpha_blocker,alpha
Terazosin 5 MG Oral Tablet [Hytrin],104363,alpha_blocker,alpha
Terazosin 10 MG Oral Tablet [Hytrin],104364,alpha_blocker,alpha
Terazosin 2 MG Oral Tablet [Hytrin],104366,alpha_blocker,alpha
Phenoxybenzamine 50 MG/ML Injectable Solution [Dibenyline],141893,alpha_blocker,alpha
Prazosin 0.5 MG Oral Tablet [Alphavase],141894,alpha_blocker,alpha
Prazosin 1 MG Oral Tablet [Alphavase],141895,alpha_blocker,alpha
Prazosin 2 MG Oral Tablet [Alphavase],141896,alpha_blocker,alpha
Prazosin 5 MG Oral Tablet [Alphavase],141897,alpha_blocker,alpha
Phenoxybenzamine 50 MG/ML Injectable Solution,150752,alpha_blocker,alpha
Prazosin 0.5 MG Oral Tablet [Kentovace],152660,alpha_blocker,alpha
Prazosin 1 MG Oral Tablet [Kentovace],152661,alpha_blocker,alpha
Prazosin 2 MG Oral Tablet [Kentovace],152662,alpha_blocker,alpha
Prazosin 5 MG Oral Tablet [Kentovace],152663,alpha_blocker,alpha
Prazosin 5 MG Oral Capsule,198141,alpha_blocker,alpha
Phentolamine 10 MG/ML Injectable Solution,199791,alpha_blocker,alpha
Prazosin 0.5 MG Oral Tablet,199796,alpha_blocker,alpha
Prazosin 1 MG Oral Tablet,199797,alpha_blocker,alpha
Prazosin 2 MG Oral Tablet,199798,alpha_blocker,alpha
Prazosin 5 MG Oral Tablet,199799,alpha_blocker,alpha
Terazosin 2 MG Oral Capsule [Hytrin],208467,alpha_blocker,alpha
Terazosin 1 MG Oral Capsule [Hytrin],208469,alpha_blocker,alpha
Terazosin 5 MG Oral Capsule [Hytrin],208470,alpha_blocker,alpha
Terazosin 10 MG Oral Capsule [Hytrin],208471,alpha_blocker,alpha
Prazosin 1 MG Oral Capsule [Minipress],208979,alpha_blocker,alpha
Prazosin 2 MG Oral Capsule [Minipress],208980,alpha_blocker,alpha
Prazosin 5 MG Oral Capsule [Minipress],208981,alpha_blocker,alpha
Prazosin 1 MG Extended Release Oral Capsule,249389,alpha_blocker,alpha
Prazosin 2 MG Extended Release Oral Capsule,249390,alpha_blocker,alpha
Indoramin 25 MG Oral Tablet,249747,alpha_blocker,alpha
Indoramin 50 MG Oral Tablet,249748,alpha_blocker,alpha
Indoramin 20 MG Oral Tablet,250478,alpha_blocker,alpha
Prazosin 5 MG Extended Release Oral Capsule,252198,alpha_blocker,alpha
Terazosin 10 MG Oral Capsule,260376,alpha_blocker,alpha
Prazosin 1 MG Oral Capsule,312593,alpha_blocker,alpha
Prazosin 2 MG Oral Capsule,312594,alpha_blocker,alpha
Terazosin 10 MG Oral Tablet,313214,alpha_blocker,alpha
Terazosin 1 MG Oral Capsule,313215,alpha_blocker,alpha
Terazosin 1 MG Oral Tablet,313216,alpha_blocker,alpha
Terazosin 2 MG Oral Capsule,313217,alpha_blocker,alpha
Terazosin 2 MG Oral Tablet,313218,alpha_blocker,alpha
Terazosin 5 MG Oral Capsule,313219,alpha_blocker,alpha
Terazosin 5 MG Oral Tablet,313220,alpha_blocker,alpha
Indoramin Oral Tablet,372478,alpha_blocker,alpha
Phenoxybenzamine Oral Capsule,373346,alpha_blocker,alpha
Phentolamine Injectable Solution,373352,alpha_blocker,alpha
Prazosin Oral Capsule,373565,alpha_blocker,alpha
Prazosin Extended Release Capsule,373566,alpha_blocker,alpha
Prazosin Oral Tablet,373567,alpha_blocker,alpha
Terazosin Oral Capsule,374033,alpha_blocker,alpha
Terazosin Oral Tablet,374034,alpha_blocker,alpha
Phenoxybenzamine Injectable Solution,385519,alpha_blocker,alpha
Phenoxybenzamine 5 MG Oral Capsule,410176,alpha_blocker,alpha
Prazosin 6 MG Extended Release Oral Capsule,411771,alpha_blocker,alpha
Prazosin 4 MG Extended Release Oral Capsule,411772,alpha_blocker,alpha
Phenoxybenzamine 1 MG Oral Tablet,430622,alpha_blocker,alpha
Prazosin 5 MG Extended Release Oral Tablet,431751,alpha_blocker,alpha
Prazosin 2.5 MG Extended Release Oral Tablet,431752,alpha_blocker,alpha
Phenoxybenzamine Oral Tablet,450643,alpha_blocker,alpha
Prazosin Extended Release Tablet,451067,alpha_blocker,alpha
Terazosin 1 MG Oral Tablet [Hytrin],539839,alpha_blocker,alpha
Terazosin 1 MG Oral Capsule [Terazoisin],583146,alpha_blocker,alpha
Terazosin 5 MG Oral Capsule [Terazoosin],583150,alpha_blocker,alpha
Phenoxybenzamine Hydrochloride 10 MG Oral Capsule,861402,alpha_blocker,alpha
Phenoxybenzamine Hydrochloride 10 MG Oral Capsule [Dibenzyline],861404,alpha_blocker,alpha
Phentolamine Mesylate 0.235 MG/ML Injectable Solution,1361019,alpha_blocker,alpha
Phentolamine Mesylate 0.235 MG/ML Injectable Solution [OraVerse],1361021,alpha_blocker,alpha
Phentolamine Mesylate 5 MG/ML Injectable Solution,1361023,alpha_blocker,alpha
Phentolamine Mesylate 5 MG/ML Injectable Solution [Regitine],1361025,alpha_blocker,alpha
Doxazosin 1 MG Oral Tablet [Cardura],104367,alpha_blocker,alpha
Doxazosin 2 MG Oral Tablet [Cardura],104368,alpha_blocker,alpha
Doxazosin 4 MG Oral Tablet [Cardura],104369,alpha_blocker,alpha
Doxazosin 1 MG Oral Tablet,197625,alpha_blocker,alpha
Doxazosin 2 MG Oral Tablet,197626,alpha_blocker,alpha
Doxazosin 4 MG Oral Tablet,197627,alpha_blocker,alpha
Doxazosin 8 MG Oral Tablet,197628,alpha_blocker,alpha
Prazosin hydrochloride,203210,alpha_blocker,alpha
Doxazosin 8 MG Oral Tablet [Cardura],205544,alpha_blocker,alpha
Phentolamine Mesylate,227240,alpha_blocker,alpha
terazosin hydrochloride,235224,alpha_blocker,alpha
24 HR Doxazosin 4 MG Extended Release Oral Tablet,636360,alpha_blocker,alpha
24 HR Doxazosin 8 MG Extended Release Oral Tablet,636361,alpha_blocker,alpha
24 HR Doxazosin 4 MG Extended Release Oral Tablet [Cardura],1242404,alpha_blocker,alpha
24 HR Doxazosin 8 MG Extended Release Oral Tablet [Cardura],1242408,alpha_blocker,alpha
valsartan 40 MG Oral Capsule,153077,ARB,ARB
valsartan 40 MG Oral Capsule [Diovan],153078,ARB,ARB
valsartan 80 MG Oral Capsule [Diovan],153079,ARB,ARB
valsartan 160 MG Oral Capsule [Diovan],153080,ARB,ARB
irbesartan 75 MG Oral Tablet [Avapro],153665,ARB,ARB
irbesartan 150 MG Oral Tablet [Avapro],153666,ARB,ARB
irbesartan 300 MG Oral Tablet [Avapro],153667,ARB,ARB
candesartan cilexetil 4 MG Oral Tablet,153822,ARB,ARB
candesartan cilexetil 8 MG Oral Tablet,153823,ARB,ARB
candesartan cilexetil 2 MG Oral Tablet [Atacand],153825,ARB,ARB
valsartan 80 MG Oral Capsule,199850,ARB,ARB
valsartan 160 MG Oral Capsule,199919,ARB,ARB
irbesartan 75 MG Oral Tablet,200094,ARB,ARB
irbesartan 150 MG Oral Tablet,200095,ARB,ARB
irbesartan 300 MG Oral Tablet,200096,ARB,ARB
telmisartan 40 MG Oral Tablet,205304,ARB,ARB
telmisartan 80 MG Oral Tablet,205305,ARB,ARB
telmisartan 40 MG Oral Tablet [Micardis],213431,ARB,ARB
telmisartan 80 MG Oral Tablet [Micardis],213432,ARB,ARB
Losartan 12.5 MG Oral Tablet,252576,ARB,ARB
eprosartan 400 MG Oral Tablet [Teveten],261300,ARB,ARB
eprosartan 600 MG Oral Tablet [Teveten],261301,ARB,ARB
telmisartan 20 MG Oral Tablet,282755,ARB,ARB
telmisartan 20 MG Oral Tablet [Micardis],284531,ARB,ARB
eprosartan 400 MG Oral Tablet,310139,ARB,ARB
eprosartan 600 MG Oral Tablet,310140,ARB,ARB
valsartan 80 MG Oral Tablet,349199,ARB,ARB
valsartan 320 MG Oral Tablet,349200,ARB,ARB
valsartan 160 MG Oral Tablet,349201,ARB,ARB
Olmesartan medoxomil 5 MG Oral Tablet,349373,ARB,ARB
Olmesartan medoxomil 20 MG Oral Tablet,349401,ARB,ARB
Olmesartan medoxomil 40 MG Oral Tablet,349405,ARB,ARB
valsartan 40 MG Oral Tablet,349483,ARB,ARB
valsartan 80 MG Oral Tablet [Diovan],351761,ARB,ARB
valsartan 160 MG Oral Tablet [Diovan],351762,ARB,ARB
valsartan 320 MG Oral Tablet [Diovan],352001,ARB,ARB
Olmesartan medoxomil 5 MG Oral Tablet [Benicar],352199,ARB,ARB
Olmesartan medoxomil 20 MG Oral Tablet [Benicar],352200,ARB,ARB
Olmesartan medoxomil 40 MG Oral Tablet [Benicar],352201,ARB,ARB
valsartan 40 MG Oral Tablet [Diovan],352274,ARB,ARB
irbesartan Oral Tablet,370704,ARB,ARB
candesartan Oral Tablet,371247,ARB,ARB
Losartan Oral Tablet,372651,ARB,ARB
telmisartan Oral Tablet,374024,ARB,ARB
valsartan Oral Capsule,374279,ARB,ARB
eprosartan Oral Tablet,374612,ARB,ARB
valsartan Oral Tablet,378276,ARB,ARB
olmesartan Oral Tablet,378991,ARB,ARB
eprosartan 300 MG Oral Tablet,389185,ARB,ARB
Olmesartan medoxomil 10 MG Oral Tablet,401971,ARB,ARB
candesartan cilexetil 4 MG Oral Tablet [Catacand],540787,ARB,ARB
candesartan cilexetil 8 MG Oral Tablet [Catacand],540791,ARB,ARB
candesartan cilexetil 16 MG Oral Tablet,577776,ARB,ARB
candesartan cilexetil 4 MG Oral Tablet [Atacand],577785,ARB,ARB
candesartan cilexetil 8 MG Oral Tablet [Atacand],577787,ARB,ARB
candesartan cilexetil 2 MG Oral Tablet,639536,ARB,ARB
candesartan cilexetil 32 MG Oral Tablet,639537,ARB,ARB
candesartan cilexetil 16 MG Oral Tablet [Atacand],639539,ARB,ARB
candesartan cilexetil 32 MG Oral Tablet [Atacand],639543,ARB,ARB
Losartan Potassium 100 MG Oral Tablet,979480,ARB,ARB
Losartan Potassium 100 MG Oral Tablet [Cozaar],979482,ARB,ARB
Losartan Potassium 25 MG Oral Tablet,979485,ARB,ARB
Losartan Potassium 25 MG Oral Tablet [Cozaar],979487,ARB,ARB
Losartan Potassium 50 MG Oral Tablet,979492,ARB,ARB
Losartan Potassium 50 MG Oral Tablet [Cozaar],979494,ARB,ARB
azilsartan Oral Tablet,1091645,ARB,ARB
azilsartan medoxomil 40 MG Oral Tablet,1091646,ARB,ARB
